Dataset,Horizon,Model,Type,n_folds,MSE,RMSE,MAE,MAPE,Directional_Accuracy,Strategy_Return_Pct,inference_time,Sharpe_Ratio,Max_Drawdown,Calmar_Ratio
BTC_Daily,1,arima,classical,157,2342297.0602058205,958.9155252450187,958.9155252450187,1.3932368649899967,31.84713375796178,-0.011834555877091668,0.6407643685674971,-0.13850976882274985,22.323380720321005,-0.3929715004436054
BTC_Daily,1,ses,classical,157,2341514.236121266,964.2610508235754,964.2610508235754,1.3919250469630815,45.22292993630573,-0.19171828611510533,0.0014820721498720205,-1.7777611154126693,37.423234370424986,-1.4459128584096599
BTC_Daily,1,holt,classical,157,2348423.525606616,964.3361198627543,964.3361198627543,1.3996787316353554,48.40764331210191,-0.1078479922591895,0.009255035667662408,-0.9970852543485652,38.13935797554903,-0.9877641591068794
BTC_Daily,1,timegpt,foundation,157,2756866.5862829364,1078.620050855892,1078.620050855892,1.5525278139478653,53.503184713375795,0.1797905491309751,2.3862823392175567,1.6662828058019215,20.540667434993303,3.821856168843574
BTC_Daily,1,moirai,foundation,157,2627595.676359529,1107.9328722133757,1107.9328722133757,1.6544016125185763,50.318471337579616,0.08128757129075793,0.06685802131701427,0.7510821471230771,17.898815001281527,1.3740601560763845
BTC_Daily,1,chronos,foundation,157,2575959.8701090235,1046.2690585191083,1046.2690585191083,1.5281777524468594,50.318471337579616,0.07314796022599077,0.020232750352021236,0.6757736673494776,25.023683811771253,0.8323818419899474
BTC_Daily,1,timesfm,foundation,157,12119826.581362074,2753.596076333599,2753.596076333599,5.272440990770173,45.859872611464965,-0.21740166383015797,0.054388999938964844,-2.0184330820896634,32.30652798707847,-1.8014058768641408
BTC_Daily,1,gemma4_local,llm_local,157,2763055.340231396,1070.8231075835984,1070.8231075835984,1.5462728547614533,50.318471337579616,-0.006710421257931326,1.5055239656168944,-0.06195521579127588,30.543516027467852,-0.3164762437828745
BTC_Daily,1,qwen3_local,llm_local,157,5988365.284639626,1255.1822208399683,1255.1822208399683,2.004008942074459,55.4140127388535,0.21252077493563398,2.8360379030750056,1.9744452550926137,16.496721439195692,6.131953566583107
BTC_Daily,7,naive,naive,156,10215046.953749636,2477.1577680875653,2130.135464958219,3.320755162526922,0.0,0.0,0.0002018885734753731,0.0,0.0,0.0
BTC_Daily,7,arima,classical,156,10281660.172585418,2528.43749077803,2175.582494583726,3.395171670944142,32.05128205128205,-0.011910418414765332,0.6426942715278039,-0.13895016985922248,22.323380720321005,-0.39537596916764406
BTC_Daily,7,ses,classical,156,10219010.73105699,2475.649090028597,2129.3823152047066,3.3200407751979,45.51282051282051,-0.19270136095606533,0.0016010250800695175,-1.7811724059590843,37.423234370424986,-1.4509246293176787
BTC_Daily,7,holt,classical,156,10363518.671432892,2495.720504496393,2152.0749052956917,3.3667174305852825,48.07692307692308,-0.10878521407447497,0.00932780595926138,-1.002537583429909,38.13935797554903,-0.994170542179052
BTC_Daily,7,timegpt,foundation,156,11015726.13027882,2606.6177948680534,2250.84829142342,3.561337640471048,53.205128205128204,0.18069716411947273,2.463276589528108,1.6693343697386394,20.540667434993303,3.846371320835413
BTC_Daily,7,moirai,foundation,156,13453590.18343857,2962.4245756410787,2575.611095610119,4.13949997700478,47.43589743589744,-0.023750030958864635,0.06696934272081424,-0.2185861326637032,22.803883437260797,-0.665135231734507
BTC_Daily,7,chronos,foundation,156,10591526.949955042,2547.1647933272416,2183.425262562958,3.4585328674883193,52.56410256410256,-0.010487805359723304,0.0821229066604223,-0.09652060075338535,27.38869888063157,-0.4033985464512317
BTC_Daily,7,timesfm,foundation,156,35085053.53939884,4977.636848361447,4574.270786830357,8.788890561077633,46.15384615384615,-0.21854937570775293,0.05467557295774802,-2.0226242879686525,32.30652798707847,-1.8074646428386767
BTC_Daily,7,gemma4_local,llm_local,156,13514162.997236384,2792.819916728593,2421.5153450520834,3.633044477362978,52.56410256410256,0.19486029094880106,4.007539188250517,1.8013053154837735,14.415980785965921,6.146028680539329
BTC_Daily,7,qwen3_local,llm_local,156,20284552.46972434,3306.1409397297903,2938.363042940133,4.544728916414472,57.05128205128205,0.40370994552424605,6.659298999187274,3.7917333708624725,10.829740612309285,28.09526057288894
BTC_Monthly,1,naive,naive,36,79000819.03208055,6676.642795138889,6676.642795138889,10.436786819796218,0.0,0.0,0.00022488832473754883,0.0,0.0,0.0
BTC_Monthly,1,arima,classical,36,104483652.76949206,7218.378025066081,7218.378025066081,11.158715237732284,25.0,1.7462370754697574,0.03944822152455648,0.47001953733482144,32.149645652048804,0.4096675381624009
BTC_Monthly,1,ses,classical,36,79067466.35367513,6684.129247909186,6684.129247909186,10.445366150306825,50.0,-1.675083015524873,0.0009724630249871148,-0.3644831656564479,78.81151926077125,-0.3946007365377579
BTC_Monthly,1,holt,classical,36,86904502.74726295,7037.700800614969,7037.700800614969,11.697414405264203,47.22222222222222,-0.33039868289346624,0.0013384222984313965,-0.07150162392744178,55.093922740266166,-0.3195320037251511
BTC_Monthly,1,timegpt,foundation,36,90887455.77265465,6987.264192274306,6987.264192274306,10.983894291059741,47.22222222222222,0.01175051176005014,2.416993055078718,0.002542373564236396,67.35579460302155,-0.20842400579570583
BTC_Monthly,1,moirai,foundation,36,98291225.68919499,7379.319227430556,7379.319227430556,11.169514659278967,52.77777777777778,0.4686252640306478,0.06814444727367824,0.10143774654343979,62.6530617472828,-0.14692836587441374
